"Player","Team","Season","Yr","Pos","GP","FR","Blocks","FF","FGs.Blocked","FGM.18.19","FGA.18.19","FGM.20.29","FGA.20.29","FGM.30.39","FGA.30.39","FGM.40.49","FGA.40.49","FGM.50.59","FGA.50.59","KO","KO.Yds","KO.TB","KO.Ret","Kick.Ret.TD","KO.Ret.Yds","PBU","Int","Pass.Att","Pass.Comp","Int.Thrown","Pass.Yds","Pass.TD","Punt.Ret","Punt.Ret.TD","Punt.Ret.Yds","Punts.I20","Punts","Punt.Yds","Punt.TB","Rec","Rec.Yds","Rec.TD","Rush.Att","Rush.Yds","Rush.Yds.Gn","Rush.Yds.Ls","Rush.TD","Sack","Sack.Yds","Safeties","Solo.Tackles","Asst.Tackles","TFL","TFL.Yds"
"Burnett, Dylan","Rensselaer",2019,"Sophomore","RB",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,101,0,79,403,414,11,5,0,0,0,0,1,0,0
"Scaglione, Joe","Rensselaer",2019,"Sophomore","RB",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,65,1,79,380,398,18,1,0,0,0,0,1,0,0
"Munoz Whatts, Delano","Rensselaer",2019,"Senior","SR",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,535,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,38,0,33,148,153,5,1,0,0,0,1,0,0,0
"Meislahn, Marc","Rensselaer",2019,"Senior","SR",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,41,425,4,38,118,125,7,6,0,0,0,0,0,0,0
"Lombardi, Peter","Rensselaer",2019,"Sophomore","SR",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,28,0,0,1,0,0,0,0,5,0,4,0,0,0,0,39,453,5,17,112,120,8,2,0,0,0,2,0,0,0
"Merkel, Spencer","Rensselaer",2019,"Sophomore","RB",6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,1,29,101,109,8,0,0,0,0,1,1,0,0
"Colina, Angel","Rensselaer",2019,"Junior","RB",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,31,31,0,0,0,0,0,0,0,0,0
"Kelly, Maliek","Rensselaer",2019,"Senior","SR",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,12,1,0,0,0,0,0,0,0,19,127,0,6,31,31,0,1,0,0,0,0,0,0,0
"Fallon, Jack","Rensselaer",2019,"Senior","LB",11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,25,0,0,0,0,0,16,23,1.5,2
"Gulia, Mike","Rensselaer",2019,"Sophomore","SR",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,16,0,0,0,0,0,0,0,0,0
"Avery, Tommy","Rensselaer",2019,"Senior","SR",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,72,1,3,12,13,1,0,0,0,0,0,0,0,0
"Isernia, Rett","Rensselaer",2019,"Sophomore","RB",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,13,3,0,0,0,0,1,0,0,0
"Todd, Bryce","Rensselaer",2019,"Senior","SR",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,72,1,3,8,10,2,0,0,0,0,0,1,0,0
