"Player","Team","Season","Yr","Pos","GP","FR","Blocks","FF","FGs.Blocked","FGM.18.19","FGA.18.19","FGM.20.29","FGA.20.29","FGM.30.39","FGA.30.39","FGM.40.49","FGA.40.49","FGM.50.59","FGA.50.59","KO","KO.Yds","KO.TB","KO.Ret","Kick.Ret.TD","KO.Ret.Yds","PBU","Int","Pass.Att","Pass.Comp","Int.Thrown","Pass.Yds","Pass.TD","Punt.Ret","Punt.Ret.TD","Punt.Ret.Yds","Punts.I20","Punts","Punt.Yds","Punt.TB","Rec","Rec.Yds","Rec.TD","Rush.Att","Rush.Yds","Rush.Yds.Gn","Rush.Yds.Ls","Rush.TD","Sack","Sack.Yds","Safeties","Solo.Tackles","Asst.Tackles","TFL","TFL.Yds"
"Bailey, Martin","Buffalo_St","2019","Senior","RB",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,148,1,0,0,0,0,0,0,0,28,192,1,134,505,584,79,6,0,0,0,0,0,0,0
"McKinney, Myles","Buffalo_St","2019","Freshman","RB",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,60,0,70,274,300,26,1,0,0,0,0,0,0,0
"Ciezki, Zak","Buffalo_St","2019","Senior","QB",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,218,10,2263,15,0,0,0,1,3,90,0,0,0,0,88,192,357,165,0,0,0,0,1,0,0,0
"Prawl, Praise","Buffalo_St","2019","Sophomore","WR",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,178,1,1,17,17,0,0,0,0,0,2,2,0,0
"Sajdak, Zachary","Buffalo_St","2019","Junior","P",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,37,1130,2,0,0,0,1,13,13,0,0,0,0,0,0,0,0,0
"Evert, Jordan","Buffalo_St","2019","Senior","WR",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,33,0,6,0,29,0,0,0,0,92,1182,11,3,0,14,14,0,0,0,0,5,0,0,0
"Wallace, Jayson","Buffalo_St","2019","Sophomore","QB",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,25,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sionko, Cam","Buffalo_St","2019","Freshman","QB",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stewart, Joe","Buffalo_St","2019","Freshman","RB",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,338,1,0,0,0,0,0,0,0,0,1,0,0,0
"Stone, Di'Jon","Buffalo_St","2019","Senior","WR",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,170,0,0,0,0,0,0,0,0,0,2,1,0,0
"Jackson, Nas","Buffalo_St","2019","Sophomore","WR",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,150,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tamarez, Angel","Buffalo_St","2019","Freshman","WR",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,114,1,0,0,0,0,0,0,0,0,0,1,0,0
"Johnson, DeJae","Buffalo_St","2019","Freshman","WR",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,61,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schreader, Kyle","Buffalo_St","2019","Sophomore","OL",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0
