"Player","Team","Season","Yr","Pos","GP","FR","Blocks","FF","FGs.Blocked","FGM.18.19","FGA.18.19","FGM.20.29","FGA.20.29","FGM.30.39","FGA.30.39","FGM.40.49","FGA.40.49","FGM.50.59","FGA.50.59","KO","KO.Yds","KO.TB","KO.Ret","Kick.Ret.TD","KO.Ret.Yds","PBU","Int","Pass.Att","Pass.Comp","Int.Thrown","Pass.Yds","Pass.TD","Punt.Ret","Punt.Ret.TD","Punt.Ret.Yds","Punts.I20","Punts","Punt.Yds","Punt.TB","Rec","Rec.Yds","Rec.TD","Rush.Att","Rush.Yds","Rush.Yds.Gn","Rush.Yds.Ls","Rush.TD","Sack","Sack.Yds","Safeties","Solo.Tackles","Asst.Tackles","TFL","TFL.Yds"
"Hanlon, Mike","Hilbert",2025,"Sophomore","BB",10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,56,0,138,526,568,42,0,0,0,0,5,2,0,0
"Hamilton Jr, Christian","Hilbert",2025,"Freshman","SL",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,63,429,448,19,3,0,0,0,0,1,0,0
"Edick, Joseph","Hilbert",2025,"Freshman","BB",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,302,307,5,2,0,0,0,0,0,0,0
"Montgomery, Darrion","Hilbert",2025,"Sophomore","QB",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,25,0,0,0,0,0,0,0,0,0,0,0,40,174,193,19,1,0,0,0,2,0,0,0
"McFadden, Franklin","Hilbert",2025,"Freshman","SL",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,64,71,7,1,0,0,0,0,1,0,0
"Robinson, Bryce","Hilbert",2025,"Senior","SL",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,184,0,0,0,0,0,0,0,1,0,4,0,0,0,0,4,86,0,33,63,92,29,0,0,0,0,0,0,0,0
"Patrick, Xzavier","Hilbert",2025,"Sophomore","SL",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,47,48,1,1,0,0,0,2,1,0,0
"Rey, Jeremiah","Hilbert",2025,"Freshman","BB",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,47,53,6,0,0,0,0,0,0,0,0
"Fravel, Payton","Hilbert",2025,"Freshman","SL",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,31,48,17,0,0,0,0,0,0,0,0
"Workman, Noah","Hilbert",2025,"Junior","QB",9,0,0,0,0,0,0,1,1,0,1,0,0,0,0,9,434,0,0,0,0,0,0,6,3,1,64,0,0,0,0,6,50,1454,0,0,0,0,30,29,56,27,0,0,0,0,2,1,0,0
"Hopkins, Brody","Hilbert",2025,"Senior","QB",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,11,4,140,0,0,0,0,0,0,0,0,0,0,0,35,26,91,65,1,1,5,0,3,2,1,5
"Fernandez, Joseph","Hilbert",2025,"Freshman","BB",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,16,0,0,0,0,0,0,2,0,0
"Krog, Ethan","Hilbert",2025,"Freshman","SL",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,0,0,0,0,0,0,0,0,0
"Wilbon, Amari","Hilbert",2025,"Freshman","DB",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,238,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,18,4,0.5,0
"Murabito, Nicholas","Hilbert",2025,"Freshman","SL",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
