"Player","Team","Season","Yr","Pos","GP","FR","Blocks","FF","FGs.Blocked","FGM.18.19","FGA.18.19","FGM.20.29","FGA.20.29","FGM.30.39","FGA.30.39","FGM.40.49","FGA.40.49","FGM.50.59","FGA.50.59","KO","KO.Yds","KO.TB","KO.Ret","Kick.Ret.TD","KO.Ret.Yds","PBU","Int","Pass.Att","Pass.Comp","Int.Thrown","Pass.Yds","Pass.TD","Punt.Ret","Punt.Ret.TD","Punt.Ret.Yds","Punts.I20","Punts","Punt.Yds","Punt.TB","Rec","Rec.Yds","Rec.TD","Rush.Att","Rush.Yds","Rush.Yds.Gn","Rush.Yds.Ls","Rush.TD","Sack","Sack.Yds","Safeties","Solo.Tackles","Asst.Tackles","TFL","TFL.Yds"
"Haeffner, Brian","Hobart","2019","Senior","RB",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,51,0,122,616,644,28,6,0,0,0,1,0,0,0
"Boswell, Rayshawn","Hobart","2019","Freshman","RB",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,198,0,59,315,356,41,4,0,0,0,0,0,0,0
"Denham Jr., Tim","Hobart","2019","Freshman","RB",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,66,1,62,260,298,38,2,0,0,0,1,0,0,0
"Matthews, Shahkyle","Hobart","2019","Sophomore","WR",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,2,94,94,0,1,0,0,0,6,1,0,0
"Krewson, David","Hobart","2019","Sophomore","QB",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,17,3,191,0,0,0,0,0,0,0,0,0,0,0,29,70,104,34,1,0,0,0,1,0,0,0
"Catalioto, Jake","Hobart","2019","Senior","WR",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,298,0,57,687,4,2,43,56,13,0,0,0,0,1,0,0,0
"Walsh, Drew","Hobart","2019","Freshman","RB",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,27,28,1,0,0,0,0,0,1,0,0
"Hopkinson, Isaiah","Hobart","2019","Sophomore","RB",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,7,24,28,4,0,0,0,0,0,0,0,0
"Pelletier, Joseph","Hobart","2019","Freshman","QB",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,9,0,0,0,0,0,0,0,0,0,0,0,2,7,7,0,0,0,0,0,0,0,0,0
"Robles, Sean","Hobart","2019","Freshman","QB",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,0,0,0,0,0,0,0,0
