"Player","Team","Season","Yr","Pos","GP","FR","Blocks","FF","FGs.Blocked","FGM.18.19","FGA.18.19","FGM.20.29","FGA.20.29","FGM.30.39","FGA.30.39","FGM.40.49","FGA.40.49","FGM.50.59","FGA.50.59","KO","KO.Yds","KO.TB","KO.Ret","Kick.Ret.TD","KO.Ret.Yds","PBU","Int","Pass.Att","Pass.Comp","Int.Thrown","Pass.Yds","Pass.TD","Punt.Ret","Punt.Ret.TD","Punt.Ret.Yds","Punts.I20","Punts","Punt.Yds","Punt.TB","Rec","Rec.Yds","Rec.TD","Rush.Att","Rush.Yds","Rush.Yds.Gn","Rush.Yds.Ls","Rush.TD","Sack","Sack.Yds","Safeties","Solo.Tackles","Asst.Tackles","TFL","TFL.Yds"
"Germinerio, Joe","Ithaca","2019","Senior","QB",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,281,10,3388,33,0,0,0,0,0,0,0,0,0,0,135,424,587,163,7,0,0,0,0,0,0,0
"D'Haiti, Isaiah","Ithaca","2019","Senior","RB",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,106,1,66,324,333,9,6,0,0,0,0,0,0,0
"Anderson, Kendall","Ithaca","2019","Senior","RB",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,48,0,63,300,312,12,1,0,0,0,0,0,0,0
"Clifford, AJ","Ithaca","2019","Sophomore","RB",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,41,0,33,142,153,11,0,0,0,0,2,0,0,0
"Garcia, Donte","Ithaca","2019","Sophomore","RB",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,149,1,23,99,101,2,1,0,0,0,0,0,0,0
"Pfisterer, Dominick","Ithaca","2019","Senior","WR/QB",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,54,65,11,2,0,0,0,0,0,0,0
"Hebron, Chase","Ithaca","2019","Sophomore","RB",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,26,2,1,0,0,0,0,0,0,0
"Kross, Dakota","Ithaca","2019","Junior","RB",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,16,0,0,0,0,0,0,0,0,0
"Nabi, Wahid","Ithaca","2019","Junior","QB",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,17,2,146,0,0,0,0,2,3,115,1,0,0,0,11,12,21,9,1,0,0,0,1,0,0,0
"Scarpa, Ben","Ithaca","2019","Senior","WR",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,1,6,6,0,0,0,0,0,0,0,0,0
"Berna, Kyle","Ithaca","2019","Senior","OL",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0
