"Player","Team","Season","Yr","Pos","GP","FR","Blocks","FF","FGs.Blocked","FGM.18.19","FGA.18.19","FGM.20.29","FGA.20.29","FGM.30.39","FGA.30.39","FGM.40.49","FGA.40.49","FGM.50.59","FGA.50.59","KO","KO.Yds","KO.TB","KO.Ret","Kick.Ret.TD","KO.Ret.Yds","PBU","Int","Pass.Att","Pass.Comp","Int.Thrown","Pass.Yds","Pass.TD","Punt.Ret","Punt.Ret.TD","Punt.Ret.Yds","Punts.I20","Punts","Punt.Yds","Punt.TB","Rec","Rec.Yds","Rec.TD","Rush.Att","Rush.Yds","Rush.Yds.Gn","Rush.Yds.Ls","Rush.TD","Sack","Sack.Yds","Safeties","Solo.Tackles","Asst.Tackles","TFL","TFL.Yds"
"Cunningham, Jason","Rochester_NY","2019","Junior","RB",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,0,123,346,363,17,0,0,0,0,0,0,0,0
"Mannion, Sean","Rochester_NY","2019","Senior","RB",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,68,0,73,235,249,14,0,0,0,0,1,1,0,0
"Bufano, Derek","Rochester_NY","2019","Freshman","QB",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,100,12,947,7,0,0,0,0,0,0,0,0,0,0,45,115,210,95,2,0,0,0,1,0,0,0
"Heslin, Tom","Rochester_NY","2019","Freshman","RB",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,45,115,125,10,0,0,0,0,0,0,0,0
"Bentayou, James","Rochester_NY","2019","Freshman","RB",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,22,57,58,1,0,0,0,0,0,0,0,0
"Jones, Nile","Rochester_NY","2019","Freshman","RB",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,47,50,3,0,0,0,0,0,0,0,0
"Genova, Steven","Rochester_NY","2019","Sophomore","QB",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,37,1,325,0,0,0,0,0,0,0,0,0,0,0,19,36,78,42,0,0,0,0,0,0,0,0
"Tanen, Tyler","Rochester_NY","2019","Senior","WR",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,237,3,8,21,22,1,0,0,0,0,2,1,0,0
"Underwood, Elijah","Rochester_NY","2019","Freshman","RB",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,8,3,0,0,0,0,0,0,0,0
"Pizzolo, William","Rochester_NY","2019","Freshman","RB",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0
"Diaz, Dan","Rochester_NY","2019","Junior","WR",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,575,0,0,0,0,0,0,0,9,0,26,0,0,0,0,28,276,1,1,1,1,0,0,0,0,0,1,0,0,0
"Grant, Robert","Rochester_NY","2019","Senior","DB",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,2,0,0,0,0,32,11,3,7
"Eamer, Ryan","Rochester_NY","2019","Freshman","QB",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,53,4,588,4,0,0,0,0,0,0,0,0,0,0,5,-29,0,29,0,0,0,0,0,0,0,0
"Hage, Michael","Rochester_NY","2019","Freshman","QB",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shinaman, Noah","Rochester_NY","2019","Sophomore","WR",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,396,4,0,0,0,0,0,0,0,0,2,0,0,0
"Whitley, Aaron","Rochester_NY","2019","Freshman","WR",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,311,1,0,0,0,0,0,0,0,0,0,0,0,0
"Josephson, Henry","Rochester_NY","2019","Junior","TE",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,211,0,0,0,0,0,0,0,0,0,2,0,0,0
"Daul, Justin","Rochester_NY","2019","Junior","TE",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,197,1,0,0,0,0,0,0,0,0,2,1,0,0
"McManus, Liam","Rochester_NY","2019","Sophomore","WR",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,0,0,0,0,0,0,0,0,0,0,0,0,0
"Szokoli, Kyle","Rochester_NY","2019","Freshman","WR",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29,0,0,0,0,0,0,0,0,0,0,0,0,0
"Penman, Chris","Rochester_NY","2019","Junior","WR",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yargeau, Damon","Rochester_NY","2019","Sophomore","WR",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,1,1,0,0
"Kollmer, Robert","Rochester_NY","2019","Junior","TE",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,1,0,0,0,0,0,0,0,0,0,0,0,0
"Drake, Jared","Rochester_NY","2019","Junior","WR",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boyce, Ryan","Rochester_NY","2019","Junior","WR",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cole, Caden","Rochester_NY","2019","Sophomore","LB",10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,41,3,6
"Awad, Seif","Rochester_NY","2019","Freshman","LB",10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,18,5.5,17
"Bush, Braydon","Rochester_NY","2019","Freshman","DB",10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,15,0.5,0
"Huewe, Adam","Rochester_NY","2019","Sophomore","LB",9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,19,20,1,4
"Petruzziello, Nicholas","Rochester_NY","2019","Sophomore","DL",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,15,0,18,18,6.5,21
"Willis, Deon","Rochester_NY","2019","Sophomore","LB",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,13,3,10
