"Player","Team","Season","Yr","Pos","GP","FR","Blocks","FF","FGs.Blocked","FGM.18.19","FGA.18.19","FGM.20.29","FGA.20.29","FGM.30.39","FGA.30.39","FGM.40.49","FGA.40.49","FGM.50.59","FGA.50.59","KO","KO.Yds","KO.TB","KO.Ret","Kick.Ret.TD","KO.Ret.Yds","PBU","Int","Pass.Att","Pass.Comp","Int.Thrown","Pass.Yds","Pass.TD","Punt.Ret","Punt.Ret.TD","Punt.Ret.Yds","Punts.I20","Punts","Punt.Yds","Punt.TB","Rec","Rec.Yds","Rec.TD","Rush.Att","Rush.Yds","Rush.Yds.Gn","Rush.Yds.Ls","Rush.TD","Sack","Sack.Yds","Safeties","Solo.Tackles","Asst.Tackles","TFL","TFL.Yds"
"Battaglia, Jamie","St_Lawrence","2019","Sophomore","RB",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,64,0,130,649,666,17,5,0,0,0,2,1,0,0
"Schmitt, Peyton","St_Lawrence","2019","Freshman","WR",10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,81,0,14,109,110,1,0,0,0,0,3,2,0,0
"Giunta, Mason","St_Lawrence","2019","Sophomore","RB",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,23,82,83,1,0,0,0,0,0,0,0,0
"Buis, Jack","St_Lawrence","2019","Junior","RB",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,15,31,40,9,1,0,0,0,1,4,0,0
"Ruthman, Aaron","St_Lawrence","2019","Junior","QB",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,24,2,323,0,0,0,0,0,0,0,0,0,0,0,21,26,75,49,0,0,0,0,0,0,0,0
"Sweeney, Davin","St_Lawrence","2019","Sophomore","WR",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,1,6,6,0,0,0,0,0,0,0,0,0
"Grochot, Tyler","St_Lawrence","2019","Sophomore","QB",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,247,11,2978,26,0,0,0,0,0,0,0,0,0,0,43,-42,70,112,1,0,0,0,2,0,0,0
"Murphy, Andrew","St_Lawrence","2019","Junior","WR",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,885,7,0,0,0,0,0,0,0,0,2,0,0,0
"Viscardo, Joseph","St_Lawrence","2019","Junior","WR",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,759,14,0,0,0,0,0,0,0,0,1,0,0,0
"Ferraro, Anthony","St_Lawrence","2019","Junior","WR",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,456,2,0,0,0,0,0,0,0,0,1,0,0,0
